# Cut classes (orig ids): EN+JP-only rule, refs #36/#39. Kept = all other 1..18708 + blank 0 + space 18709.
124	À
125	Á
126	Â
127	Ã
128	Ä
129	Å
130	Æ
131	Ç
132	È
133	É
134	Ê
135	Ë
136	Ì
137	Í
138	Î
139	Ï
140	Ð
141	Ñ
142	Ò
143	Ó
144	Ô
145	Õ
146	Ö
148	Ø
149	Ù
150	Ú
151	Û
152	Ü
153	Ý
154	Þ
155	ß
156	à
157	á
158	â
159	ã
160	ä
161	å
162	æ
163	ç
164	è
165	é
166	ê
167	ë
168	ì
169	í
170	î
171	ï
172	ð
173	ñ
174	ò
175	ó
176	ô
177	õ
178	ö
180	ø
181	ù
182	ú
183	û
184	ü
185	ý
186	þ
187	ÿ
188	Ā
189	ā
190	Ă
191	ă
192	Ą
193	ą
194	Ć
195	ć
196	Ĉ
197	ĉ
198	Ċ
199	ċ
200	Č
201	č
202	Ď
203	ď
204	Đ
205	đ
206	Ē
207	ē
208	Ĕ
209	ĕ
210	Ė
211	ė
212	Ę
213	ę
214	Ě
215	ě
216	Ĝ
217	ĝ
218	Ğ
219	ğ
220	Ġ
221	ġ
222	Ģ
223	ģ
224	Ĥ
225	ĥ
226	Ħ
227	ħ
228	Ĩ
229	ĩ
230	Ī
231	ī
232	Ĭ
233	ĭ
234	Į
235	į
236	İ
237	ı
238	Ĳ
239	ĳ
240	Ĵ
241	ĵ
242	Ķ
243	ķ
244	ĸ
245	Ĺ
246	ĺ
247	Ļ
248	ļ
249	Ľ
250	ľ
251	Ŀ
252	ŀ
253	Ł
254	ł
255	Ń
256	ń
257	Ņ
258	ņ
259	Ň
260	ň
261	ŉ
262	Ŋ
263	ŋ
264	Ō
265	ō
266	Ŏ
267	ŏ
268	Ő
269	ő
270	Œ
271	œ
272	Ŕ
273	ŕ
274	Ŗ
275	ŗ
276	Ř
277	ř
278	Ś
279	ś
280	Ŝ
281	ŝ
282	Ş
283	ş
284	Š
285	š
286	Ţ
287	ţ
288	Ť
289	ť
290	Ŧ
291	ŧ
292	Ũ
293	ũ
294	Ū
295	ū
296	Ŭ
297	ŭ
298	Ů
299	ů
300	Ű
301	ű
302	Ų
303	ų
304	Ŵ
305	ŵ
306	Ŷ
307	ŷ
308	Ÿ
309	Ź
310	ź
311	Ż
312	ż
313	Ž
314	ž
315	ſ
316	ƀ
317	Ɓ
318	Ƃ
319	ƃ
320	Ƅ
321	ƅ
322	Ɔ
323	Ƈ
324	ƈ
325	Ɖ
326	Ɗ
327	Ƌ
328	ƌ
329	ƍ
330	Ǝ
331	Ə
332	Ɛ
333	Ƒ
334	ƒ
335	Ɠ
336	Ɣ
337	ƕ
338	Ɩ
339	Ɨ
340	Ƙ
341	ƙ
342	ƚ
343	ƛ
344	Ɯ
345	Ɲ
346	ƞ
347	Ɵ
348	Ơ
349	ơ
350	Ƣ
351	ƣ
352	Ƥ
353	ƥ
354	Ʀ
355	Ƨ
356	ƨ
357	Ʃ
358	ƪ
359	ƫ
360	Ƭ
361	ƭ
362	Ʈ
363	Ư
364	ư
365	Ʊ
366	Ʋ
367	Ƴ
368	ƴ
369	Ƶ
370	ƶ
371	Ʒ
372	Ƹ
373	ƹ
374	ƺ
375	ƻ
376	Ƽ
377	ƽ
378	ƾ
379	ƿ
380	ǀ
381	ǁ
